#Type
otu_id	cluster	indicator_value	p_value	H1	H10	H27	H28	H29	H30	H31	H32	H33	H34	H4	H5	H50	H51	H52	H58	H6	H7	H8	H9	SubGmCP1	SubGmCP10	SubGmCP11	SubGmCP13	SubGmCP2	SubGmCP3	SubGmCP4	SubGmCP5	SubGmCP6	SubGmCP7	SubGmCP8	SubGmCP9	SubGR1	SubGR2	SubGR3	SubGR4	SubGR5	SubGR6	SubGR7	SubGR8	SubGsCP1	SubGsCP10	SubGsCP11	SubGsCP12	SubGsCP13	SubGsCP2	SubGsCP3	SubGsCP5	SubGsCP7	SubGsCP8	SubGsCP9
X6aaeab9096e9fb4b17de66cb62951e93	Healthy	0.2500	0.044	0.0	0.0	4.0	113.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	955.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xfbeeb7ba6a10797bb46f54e0da7b7b4f	Healthy	0.2500	0.037	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X445fc9dfcb599496719f7d580e6db285	Healthy	0.2437	0.042	111.0	0.0	72.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	17.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xb4b6d839e1da94c82f4230573695ebb5	Healthy	0.2198	0.044	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.0	59.0	0.0	0.0	0.0	0.0	98.0	42.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
X9b2fcfae23988780e93be6d86007e951	Moderate	0.6178	0.029	7.0	32.0	0.0	47.0	15.0	11.0	6.0	108.0	0.0	0.0	0.0	0.0	10.0	15.0	37.0	195.0	0.0	0.0	0.0	0.0	755.0	129.0	29.0	3.0	0.0	21.0	2.0	532.0	0.0	3526.0	0.0	0.0	0.0	20.0	0.0	3.0	0.0	0.0	4.0	2.0	0.0	0.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	45.0
X71f75fea05ad44dba94dd48c806893fc	Moderate	0.4589	0.017	42.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	44.0	0.0	0.0	0.0	0.0	34.0	35.0	3997.0	2841.0	300.0	3.0	0.0	19.0	18.0	0.0	0.0	0.0	0.0	1055.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1409.0	83.0	0.0	0.0	0.0	0.0
Xb748ecede2d70822eaf8118aabfbfd3e	Moderate	0.3872	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	776.0	0.0	0.0	0.0	0.0	65.0	64.0	0.0	0.0	0.0	0.0	0.0	744.0	109.0	0.0	0.0	0.0	54.0	31.0	1339.0	0.0	0.0	7.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0
Xd47700aed619a744a05532baab16c11b	Moderate	0.3676	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	27.0	5.0	0.0	20.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0
Xb869b85397cc71e5a39a4524f627815e	Moderate	0.3665	0.029	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	194.0	0.0	10.0	0.0	0.0	89.0	0.0	20.0	126.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	1370.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0
X8adf72c5f34f0d2359a2a6c8b2b8f1e0	Moderate	0.3631	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	7.0	2.0	10.0	16.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
