# Constructed from biom file
#OTU ID	H19	H20	H21	H22	H23	H24	H25	H26	H3	H43	H44	H45	H46	H47	H48	H49	H56	H57	H59	H60	TonguemCP1	TonguemCP10	TonguemCP11	TonguemCP12	TonguemCP13	TonguemCP2	TonguemCP3	TonguemCP4	TonguemCP5	TonguemCP6	TonguemCP7	TonguemCP8	TonguemCP9	TongueR1	TongueR2	TongueR3	TongueR4	TongueR5	TongueR6	TongueR7	TongueR8	TonguesCP1	TonguesCP11	TonguesCP12	TonguesCP13	TonguesCP2	TonguesCP3	TonguesCP5	TonguesCP6	TonguesCP7	TonguesCP8	TonguesCP9
3b8cabb4f0dcac917cedec3fa71e2fc3	0.0	0.0	0.0	0.0	26.0	0.0	0.0	35.0	11.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	0.0	19.0	245.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0
f77fd8df4c0f9372dc998db60efc9e48	15.0	36.0	35.0	178.0	0.0	0.0	18.0	0.0	0.0	27.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	158.0	29.0	0.0	75.0	0.0	3.0	63.0	0.0	0.0	0.0	0.0	15.0	0.0	45.0	0.0	0.0	0.0	5.0	0.0	10.0	7.0	50.0	0.0	0.0	64.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
05e62ff023aa607870d4bedbdcff93a7	83.0	0.0	119.0	25.0	0.0	30.0	712.0	643.0	145.0	40.0	0.0	815.0	138.0	111.0	86.0	0.0	354.0	203.0	219.0	265.0	627.0	2.0	1230.0	6.0	24.0	28.0	480.0	34.0	324.0	235.0	696.0	27.0	3398.0	270.0	454.0	538.0	139.0	125.0	76.0	326.0	357.0	0.0	146.0	0.0	533.0	388.0	36.0	556.0	52.0	0.0	21.0	702.0
86bed449fd88b24f76226996ab2eac39	470.0	1698.0	843.0	0.0	0.0	0.0	0.0	0.0	80.0	459.0	0.0	153.0	0.0	229.0	374.0	0.0	0.0	0.0	847.0	3777.0	0.0	0.0	387.0	0.0	0.0	5.0	0.0	27.0	757.0	0.0	546.0	154.0	430.0	1387.0	36.0	1161.0	446.0	113.0	0.0	2116.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c0e89d744297aee4bbae63ff7fdaccd4	0.0	0.0	77.0	7.0	205.0	0.0	0.0	39.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	244.0	0.0	0.0	779.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
3272048478d5f159df17ac93aa544758	49.0	59.0	53.0	0.0	364.0	5.0	0.0	0.0	0.0	17.0	12.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	6.0	0.0	0.0	51.0	0.0	31.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
0217c85b5f8f9fc58da6de215c0513bd	11.0	10.0	0.0	34.0	0.0	4.0	0.0	5.0	37.0	30.0	7.0	0.0	0.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	339.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	29.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
52e61fd8fed61e20bb7a0867cc1061d7	0.0	19.0	37.0	31.0	0.0	0.0	0.0	7.0	0.0	20.0	13.0	0.0	16.0	23.0	0.0	13.0	0.0	0.0	61.0	0.0	0.0	13.0	4.0	0.0	25.0	0.0	0.0	0.0	0.0	104.0	0.0	13.0	0.0	0.0	15.0	0.0	0.0	20.0	1.0	43.0	0.0	106.0	211.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0
759b1e7420fed861c1b63d9e5b79c118	57.0	0.0	0.0	196.0	180.0	0.0	66.0	17.0	0.0	0.0	0.0	4.0	0.0	0.0	159.0	0.0	2827.0	0.0	504.0	0.0	0.0	0.0	332.0	0.0	0.0	2050.0	1626.0	0.0	125.0	594.0	24.0	0.0	247.0	208.0	39.0	139.0	66.0	38.0	0.0	16.0	0.0	0.0	0.0	2392.0	326.0	226.0	1966.0	61.0	0.0	658.0	0.0	0.0
83c6f9e53a67fc43831f20e401ebd4ef	0.0	21.0	8.0	17.0	0.0	5.0	0.0	8.0	0.0	0.0	0.0	11.0	31.0	7.0	0.0	0.0	0.0	0.0	139.0	0.0	0.0	0.0	4.0	0.0	275.0	0.0	0.0	0.0	1.0	3.0	0.0	4.0	0.0	0.0	9.0	0.0	1.0	49.0	3.0	5.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	4.0	0.0
