# Constructed from biom file
#OTU ID	H1	H10	H27	H28	H29	H30	H31	H32	H33	H34	H4	H5	H50	H51	H52	H58	H6	H7	H8	H9	SubGmCP1	SubGmCP10	SubGmCP11	SubGmCP13	SubGmCP2	SubGmCP3	SubGmCP4	SubGmCP5	SubGmCP6	SubGmCP7	SubGmCP8	SubGmCP9	SubGR1	SubGR2	SubGR3	SubGR4	SubGR5	SubGR6	SubGR7	SubGR8	SubGsCP1	SubGsCP10	SubGsCP11	SubGsCP12	SubGsCP13	SubGsCP2	SubGsCP3	SubGsCP5	SubGsCP7	SubGsCP8	SubGsCP9
52e61fd8fed61e20bb7a0867cc1061d7	22.0	24.0	7.0	14.0	0.0	12.0	0.0	178.0	54.0	0.0	0.0	0.0	7.0	0.0	102.0	50.0	66.0	22.0	8.0	0.0	0.0	23.0	0.0	144.0	0.0	0.0	0.0	0.0	7.0	32.0	0.0	0.0	3.0	419.0	0.0	30.0	162.0	13.0	27.0	0.0	1443.0	0.0	156.0	1.0	0.0	0.0	0.0	9.0	7.0	0.0	0.0
759b1e7420fed861c1b63d9e5b79c118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	10.0	6.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	14.0	0.0	0.0	0.0	0.0	2.0
83c6f9e53a67fc43831f20e401ebd4ef	0.0	281.0	0.0	0.0	94.0	7.0	0.0	257.0	10.0	0.0	0.0	0.0	5.0	0.0	17.0	176.0	21.0	0.0	10.0	0.0	0.0	0.0	14.0	4361.0	10.0	14.0	0.0	283.0	0.0	8.0	0.0	40.0	0.0	17.0	0.0	13.0	409.0	0.0	13.0	88.0	65.0	0.0	0.0	0.0	13.0	0.0	0.0	6.0	0.0	18.0	0.0
65f2bab1c7e3da83fd12bb90701e65a0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	35.0	27.0	0.0	7.0	0.0	3.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	29.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
269fd6cc72ac3496ef59fee61b7a0ace	0.0	0.0	0.0	4.0	0.0	0.0	0.0	14.0	124.0	7.0	11.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0
b24064dd451dbc5384f2c37b311f5f34	187.0	0.0	0.0	123.0	67.0	512.0	12.0	44.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	265.0	0.0	0.0	6.0	0.0	0.0	31.0	61.0	0.0	703.0	0.0	0.0	0.0	743.0	0.0	1707.0	109.0	0.0	264.0	0.0	606.0	0.0	0.0	6.0	118.0	0.0	48.0	74.0	12.0	0.0	158.0	507.0	0.0	32.0
969ba38a4fdc564e5f4d5aa9a8c1a71c	10.0	2.0	2.0	1.0	21.0	0.0	10.0	11.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	82.0	22.0	0.0	0.0	46.0	0.0	215.0	198.0	0.0	9.0	1.0	0.0	42.0	326.0	0.0	33.0	171.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	8.0	0.0	3145.0	0.0
9b2fcfae23988780e93be6d86007e951	7.0	32.0	0.0	47.0	15.0	11.0	6.0	108.0	0.0	0.0	0.0	0.0	10.0	15.0	37.0	195.0	0.0	0.0	0.0	0.0	755.0	129.0	29.0	3.0	0.0	21.0	2.0	532.0	0.0	3526.0	0.0	0.0	0.0	20.0	0.0	3.0	0.0	0.0	4.0	2.0	0.0	0.0	4.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	45.0
6f3466d56975b5fb37be10d34c5b6ded	65.0	61.0	61.0	7.0	177.0	679.0	149.0	0.0	0.0	0.0	67.0	20.0	0.0	155.0	0.0	0.0	126.0	0.0	0.0	21.0	0.0	144.0	417.0	2.0	127.0	39.0	0.0	0.0	390.0	0.0	0.0	0.0	0.0	237.0	367.0	81.0	0.0	427.0	7.0	0.0	69.0	161.0	0.0	0.0	31.0	59.0	0.0	448.0	0.0	0.0	20.0
51394f6f03e02ef7d674fcb69f10b5e5	0.0	0.0	145.0	0.0	0.0	28.0	0.0	95.0	0.0	0.0	2331.0	14.0	0.0	0.0	0.0	8.0	16.0	0.0	230.0	4.0	0.0	0.0	20.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	57.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0
